"Simulation number","Main_seg_D","Category","Main_seg_ang","d_BA","d_WA","tau.z","tau.v","mean_A","min_speed","max_speed","BA_dep","WA_arr","WA_dep","BA_arr"
"1","49","short","2.34","12.25","12.25","7","0.06","129.5","1.36","1.77","173","206","323","355"
"2","45","short","4.41","22.5","15","5","0.04","122","1.15","1.88","173","208","324","360"
"3","29","short","5.07","7.25","7.25","6","0.06","120","1.04","1.81","156","176","294","315"
"4","48","short","0.06","12","12","7","0.05","124.5","1.43","2","120","150","266","302"
"5","26","short","4.31","13","13","7","0.06","126","1.18","1.62","172","196","292","317"
"6","45","short","5.89","11.25","22.5","6","0.05","115","1.27","1.73","127","169","321","357"
"7","34","short","2.5","8.5","8.5","7","0.05","126","1","2.12","131","162","326","358"
"8","44","short","5.02","14.67","14.67","5","0.05","122","0.98","1.91","171","208","328","361"
"9","45","short","1.3","11.25","11.25","6","0.04","131","1.41","2","149","183","313","341"
"10","35","short","1.93","11.67","11.67","7","0.06","121","1.04","1.46","143","171","275","311"
"11","50","short","0","16.67","25","6","0.05","139","1.28","1.7","148","189","338","377"
"12","26","short","5.14","13","6.5","7","0.05","134","1.3","1.44","163","185","314","335"
"13","48","short","1.55","16","24","7","0.04","122.5","1.33","1.83","142","181","303","336"
"14","33","short","4.01","11","8.25","6","0.06","104","1.48","2.06","156","180","283","303"
"15","29","short","1.23","14.5","9.67","7","0.05","122.5","1.47","2.07","156","173","306","329"
"16","25","short","1.53","8.33","6.25","5","0.04","137","1.22","2.08","175","196","351","368"
"17","42","short","6.08","10.5","21","6","0.05","127.5","1.86","2.1","129","156","224","248"
"18","34","short","4.46","11.33","17","5","0.05","129.5","1.11","1.89","136","163","273","305"
"19","34","short","4.09","8.5","8.5","5","0.04","120.5","1.21","1.96","139","161","295","316"
"20","30","short","4.83","10","7.5","5","0.06","119.5","1.02","1.88","176","205","359","386"
"21","25","short","4.39","12.5","12.5","6","0.05","140.5","1.04","1.63","121","145","267","295"
"22","30","short","2.98","7.5","10","7","0.05","126","1.15","1.67","120","148","276","301"
"23","48","short","4.47","16","24","5","0.04","128.5","1.15","2","125","169","265","296"
"24","31","short","1.41","10.33","7.75","5","0.04","126","1.03","1.94","180","204","306","336"
"25","31","short","4.37","10.33","15.5","5","0.06","138.5","1.45","1.72","162","184","310","333"
"26","32","short","1.96","10.67","8","6","0.05","131.5","1.32","1.78","145","170","243","267"
"27","29","short","0.53","14.5","9.67","5","0.04","124.5","1.73","2.07","175","194","298","319"
"28","41","short","0.56","13.67","20.5","7","0.04","134.5","1.37","1.86","175","203","350","381"
"29","29","short","1.51","7.25","14.5","6","0.04","114","1.21","1.83","171","197","335","352"
"30","34","short","3.07","11.33","11.33","7","0.04","139","1.26","1.92","165","188","343","366"
"31","37","short","5.97","9.25","9.25","5","0.06","122","1.03","1.84","163","192","284","310"
"32","30","short","5.08","7.5","15","5","0.06","123.5","1.45","1.88","144","164","265","288"
"33","34","short","2.48","17","11.33","5","0.06","148","1.42","1.89","121","143","239","266"
"34","25","short","5.56","8.33","8.33","6","0.06","121.5","1.03","1.48","162","189","279","299"
"35","34","short","0.07","11.33","17","5","0.05","125.5","1.3","1.89","168","198","308","330"
"36","45","short","4.24","11.25","11.25","7","0.04","109.5","1.02","1.52","163","200","325","367"
"37","46","short","0.5","23","15.33","7","0.05","132.5","1.15","1.91","155","183","302","343"
"38","25","short","0.13","8.33","12.5","7","0.05","121.5","1.04","1.87","133","157","275","294"
"39","33","short","1.3","16.5","11","5","0.05","132","1.57","2","149","168","281","305"
"40","47","short","4.34","15.67","15.67","5","0.06","124.5","1.4","1.96","156","186","312","346"
"41","32","short","6.1","10.67","16","6","0.05","118.5","1.05","1.78","164","191","308","340"
"42","41","short","5.89","13.67","20.5","7","0.06","148.5","1.25","1.95","139","179","296","321"
"43","36","short","5.72","18","18","7","0.05","120.5","1","1.63","174","205","343","382"
"44","41","short","1.78","20.5","10.25","5","0.06","122.5","1.08","1.46","125","161","292","340"
"45","29","short","2","7.25","9.67","7","0.04","126","1.38","1.81","136","159","319","340"
"46","42","short","1.53","14","21","6","0.04","129","1.05","1.75","139","177","257","286"
"47","49","short","4.78","24.5","12.25","6","0.05","135","1.44","1.94","164","199","267","303"
"48","29","short","0.21","14.5","7.25","5","0.04","122.5","1.45","1.93","132","150","288","311"
"49","29","short","1.7","9.67","14.5","7","0.04","112.5","1.04","2.07","178","198","265","295"
"50","40","short","2.75","10","10","6","0.06","130.5","1.25","1.82","177","209","379","404"
"51","31","short","1.26","7.75","15.5","6","0.05","135","1.03","1.55","179","209","306","337"
"52","42","short","2.18","14","10.5","5","0.04","126.5","1.17","2.02","127","150","240","276"
"53","30","short","0.73","15","7.5","7","0.04","103","1.45","1.88","153","172","323","348"
"54","31","short","1.22","10.33","10.33","7","0.05","108","1.03","1.94","170","194","307","330"
"55","50","short","0.22","16.67","12.5","6","0.05","110","1.46","1.85","153","188","283","319"
"56","25","short","4.53","6.25","6.25","7","0.05","120","1.56","2.08","170","185","265","283"
"57","42","short","3.22","10.5","10.5","5","0.05","128","1.17","1.53","135","169","262","294"
"58","43","short","0.91","21.5","14.33","5","0.05","111","1.19","1.93","179","205","353","391"
"59","27","short","3.47","6.75","13.5","5","0.05","123.5","1.12","1.69","153","181","307","325"
"60","43","short","2.22","10.75","14.33","7","0.04","110.5","1.19","1.72","138","172","331","362"
"61","36","short","5.92","12","9","5","0.06","123","1.12","1.8","150","178","308","345"
"62","46","short","3.85","23","23","5","0.06","122","1.13","1.92","170","210","280","318"
"63","27","short","1.26","6.75","13.5","7","0.05","130","1.12","1.76","153","175","263","285"
"64","48","short","5.2","16","12","5","0.04","126.5","1.14","1.86","147","175","277","319"
"65","27","short","1.07","9","9","5","0.06","110.5","1.12","1.93","172","191","347","370"
"66","37","short","5.21","18.5","18.5","6","0.04","132.5","1.28","1.96","159","184","302","335"
"67","35","short","2.83","17.5","17.5","5","0.04","131","1.09","1.94","143","174","253","291"
"68","36","short","4.15","12","18","5","0.06","139.5","1.5","1.88","175","201","322","346"
"69","41","short","4.06","10.25","13.67","5","0.06","106","1.14","1.28","129","168","311","346"
"70","27","short","5.98","9","13.5","7","0.04","103.5","1","1.84","152","175","260","281"
"71","39","short","1.33","13","13","7","0.05","144.5","1.12","1.91","144","180","288","311"
"72","37","short","5.16","18.5","9.25","5","0.04","122","1.27","1.86","125","147","254","289"
"73","31","short","3.86","7.75","15.5","7","0.06","125.5","1.8","1.95","154","175","258","276"
"74","26","short","3.02","6.5","6.5","6","0.06","114.5","1.07","1.93","179","194","318","342"
"75","32","short","4.3","10.67","16","5","0.04","104","1.04","1.78","143","168","328","362"
"76","29","short","4.63","7.25","14.5","6","0.05","136.5","1.32","1.83","132","155","268","289"
"77","42","short","4.51","14","21","7","0.05","126.5","1.4","1.75","149","184","316","346"
"78","39","short","5.25","13","9.75","7","0.06","108","1.18","1.74","166","194","347","376"
"79","38","short","2.82","12.67","9.5","5","0.05","140","1.13","1.9","177","211","328","364"
"80","35","short","3.51","11.67","8.75","7","0.04","122","1.17","1.46","146","178","286","318"
"81","27","short","4.32","13.5","13.5","5","0.04","110","1.07","1.46","164","189","312","343"
"82","41","short","3.89","20.5","10.25","6","0.06","129","1.02","2.03","178","215","336","371"
"83","25","short","1.44","12.5","8.33","6","0.05","107","1.08","1.85","137","154","254","279"
"84","43","short","5.49","21.5","14.33","5","0.05","142","1.03","1.34","150","195","343","392"
"85","33","short","0.59","16.5","8.25","5","0.06","145","1.03","2.06","166","197","318","353"
"86","27","short","3.08","9","13.5","6","0.05","136","1.35","1.8","165","187","289","311"
"87","50","short","0.27","16.67","12.5","7","0.06","115.5","1.28","1.79","122","157","283","322"
"88","47","short","0.65","23.5","15.67","5","0.05","125.5","1.01","1.53","179","219","296","351"
"89","29","short","5.71","9.67","7.25","6","0.06","127.5","1.04","1.9","164","188","303","323"
"90","44","short","2.76","22","14.67","6","0.06","126","1.3","1.79","148","180","313","354"
"91","37","short","2.63","9.25","9.25","7","0.05","123.5","1.32","1.85","178","206","320","347"
"92","42","short","4.04","21","10.5","5","0.05","126","1.17","1.86","171","198","321","362"
"93","41","short","2","13.67","10.25","5","0.06","134","1.33","1.96","128","151","282","314"
"94","40","short","3.38","10","13.33","6","0.06","128.5","1.11","1.88","142","172","256","281"
"95","47","short","3.62","23.5","23.5","6","0.04","106","1.12","1.81","149","195","351","384"
"96","25","short","5.78","12.5","6.25","7","0.05","143","1.56","1.7","163","179","330","348"
"97","32","short","3.57","10.67","16","5","0.06","115.5","1.14","1.52","137","168","297","324"
"98","46","short","2.16","23","15.33","6","0.04","121.5","1.24","1.92","125","165","315","353"
"99","40","short","0.71","13.33","13.33","6","0.04","136.5","1.11","1.71","128","155","258","293"
"100","34","short","1.62","11.33","11.33","6","0.05","122","1.26","1.89","126","153","231","257"
"101","33","short","0.28","11","11","7","0.05","138.5","1.44","1.83","128","149","285","311"
"102","47","short","3.1","23.5","23.5","7","0.06","107","1.47","1.96","165","201","329","366"
"103","32","short","0.4","10.67","8","7","0.04","129","1.19","2","173","192","312","336"
"104","37","short","4.85","18.5","12.33","6","0.05","144.5","1.04","2.06","178","214","297","331"
"105","41","short","6.26","13.67","13.67","7","0.04","130.5","1.14","1.71","148","184","291","329"
"106","29","short","5.41","14.5","9.67","5","0.06","115.5","1.21","1.86","125","152","330","351"
"107","40","short","0.09","13.33","13.33","7","0.05","103.5","1.15","1.9","146","182","345","375"
"108","34","short","2.21","11.33","8.5","5","0.06","126.5","1.42","1.86","142","167","322","345"
"109","37","short","3.09","18.5","12.33","7","0.05","125.5","1.32","2.06","175","199","315","346"
"110","44","short","1.37","11","14.67","7","0.06","107.5","1.1","1.83","152","182","273","315"
"111","38","short","4.56","19","9.5","6","0.04","129","1.06","1.44","166","205","292","326"
"112","38","short","5.79","19","19","5","0.05","125","1.36","1.77","174","203","339","370"
"113","45","short","3.99","15","22.5","7","0.04","144","1.11","1.88","129","178","326","357"
"114","42","short","0.92","14","14","5","0.04","112.5","1","1.9","166","200","310","343"
"115","31","short","0.53","15.5","7.75","6","0.04","136","1.55","1.93","159","178","265","286"
"116","47","short","2.11","15.67","23.5","7","0.05","136.5","1.12","1.96","159","205","344","384"
"117","27","short","0.29","13.5","6.75","7","0.05","134.5","1.45","1.69","133","152","264","286"
"118","44","short","3.56","11","11","6","0.04","134","1.38","1.93","150","176","294","323"
"119","32","short","0.74","8","16","6","0.04","124","1","1.8","126","164","287","307"
"120","45","short","0.79","15","22.5","5","0.06","124.5","1.22","1.88","120","158","322","363"
"121","44","short","5.98","22","11","5","0.04","123","1.12","1.57","132","166","270","316"
"122","40","short","5.7","10","20","7","0.06","126.5","1.05","1.67","129","169","313","349"
"123","39","short","2.57","13","13","6","0.05","120","1.08","1.86","124","155","287","314"
"124","25","short","2.57","8.33","8.33","7","0.06","120.5","1.04","1.78","179","195","312","334"
"125","34","short","1.88","11.33","8.5","7","0.05","124.5","1.45","2.12","174","198","340","362"
"126","26","short","2.87","6.5","13","6","0.04","118","1.3","1.94","130","151","301","317"
"127","27","short","1.3","13.5","6.75","6","0.06","107.5","1.18","1.69","169","194","278","300"
"128","28","short","5.95","14","14","7","0.06","119.5","1.08","1.64","123","152","263","287"
"129","45","short","1.98","15","15","7","0.06","111","1.15","1.8","161","195","335","370"
"130","27","short","1.56","9","13.5","6","0.06","122.5","1.11","1.56","121","146","243","272"
"131","50","short","0.79","16.67","12.5","7","0.04","128","1.03","1.67","171","209","333","380"
"132","35","short","5.99","11.67","8.75","6","0.04","128","1.11","1.46","156","190","333","368"
"133","49","short","5.32","16.33","24.5","6","0.05","109","1.09","1.57","136","181","301","340"
"134","36","short","3.94","12","12","6","0.05","122.5","1.5","1.66","123","149","240","266"
"135","25","short","0.22","12.5","12.5","5","0.06","119","1.15","1.56","123","149","269","292"
"136","33","short","2.54","8.25","16.5","7","0.05","136.5","1.21","1.65","159","188","343","371"
"137","26","short","5.74","6.5","13","7","0.06","121.5","1.27","2.17","149","169","333","353"
"138","34","short","0.41","17","8.5","5","0.04","119.5","1.07","1.7","178","203","371","407"
"139","38","short","1.98","19","12.67","5","0.04","121.5","1.25","1.58","179","209","365","403"
"140","33","short","4.82","16.5","16.5","5","0.04","113","1.18","1.64","132","162","285","321"
"141","38","short","0.8","19","12.67","6","0.05","132","1.41","1.73","121","150","281","309"
"142","37","short","4.39","9.25","18.5","5","0.04","125.5","1.49","1.73","149","177","260","287"
"143","48","short","0.05","24","24","6","0.06","117.5","1.24","1.85","121","160","295","338"
"144","31","short","4.44","15.5","15.5","6","0.06","133","1.03","1.55","140","177","261","288"
"145","26","short","3.36","13","13","5","0.05","110.5","1.18","1.84","176","199","287","307"
"146","48","short","4.73","12","12","6","0.04","123","1.09","2","149","192","345","380"
"147","37","short","3.53","12.33","12.33","5","0.04","128","1.03","1.87","175","202","349","376"
"148","45","short","1.88","11.25","15","5","0.05","109.5","1.12","1.88","171","207","329","373"
"149","44","short","1.28","11","14.67","5","0.05","120","1.17","1.57","144","184","306","346"
"150","27","short","2.8","6.75","6.75","5","0.06","130.5","1.4","1.95","137","157","271","287"
