ID,Sp,state,begin,end,mu.dx,sd.dx,mu.dy,sd.dy,mu.R2n,sd.R2n,mu.x,sd.x,mu.y,sd.y,mu.dist,sd.dist,state_ordered,sinuosity,straightness,ang_vector,ang_mean,Emax,sq_disp,dc_mean,dc_sd,R2n_mean,R2n_sd,index_seg,index_seg2,Clust_SM,Clust_BnB,S_M,B_nB,Breed,Confidence,f_day,l_day,Eq,Breed_0,Check
11001001,CALBOR,5,1,83,0.00648852268307435,0.729983230319502,0.00818305569697075,1.58698596525205,23.7020627628661,16.079287464209,-18.5431356066813,0.89223440817526,24.8059761933858,2.48399221707941,1.40036899678615,1.03274488431918,5,1.104,0.005,0.392,-0.027,0.354,376.311,1764.055,1289.879,23.702,16.079,2.216,4.101,1,1,Stationary,B,B,3,2002-06-21,2002-08-23,FALSE,B,Ok
11001001,CALBOR,2,84,118,0.0244237323192165,0.826999798918851,-0.00482756449803341,6.0322022476233e-4,68.0947350895817,5.78055318934293,-18.8695586810859,0.857862181497079,20.2362096913885,0.0492899116633686,0.639806735238766,0.513005499928291,2,1.96,0.01,0.238,0.019,0.175,28.428,1914.189,2193.23,68.095,5.781,0.042,8.208,1,1,Stationary,B,B,3,2002-08-24,2002-09-10,TRUE,B,Ok
11001001,CALBOR,6,119,170,-0.014378439143295,0.482707051509163,-0.00507927402331167,0.0020472412523243,64.3724760440713,2.21725367767831,-17.4796785652935,0.474453495057847,20.0159005197974,0.0774936124472953,0.351857957788619,0.32713274763932,6,2.5,0.02,0.298,-0.009,0.314,15.478,1720.62,2078.983,64.372,2.217,0.037,8.009,1,1,Stationary,B,B,3,2002-09-10,2002-10-07,TRUE,B,Ok
11001001,CALBOR,4,171,200,-0.0204763043271141,0.523080377122033,0.013498045282497999,0.100331854846651,72.6971647993488,4.74445001023183,-18.570102077677,0.713381567750419,19.8153231745901,0.0423647999775961,0.405571198761703,0.337848755632787,4,2.519,0.056,0.223,-0.017,0.275,10.702,1760.97,2120.82,72.697,4.744,0.03,8.497,1,1,Stationary,B,B,3,2002-10-08,2002-10-22,TRUE,B,Ok
11001001,CALBOR,3,201,254,-0.0157109600022259,0.447250920829489,-0.0843774370753496,1.50293163191895,65.6148823659083,30.4892318955281,-18.7584838814194,0.861961260585766,20.5900656275982,1.86786278332518,1.20824801688287,0.99213530514132,3,1.288,0.12,0.296,-0.213,0.304,190.024,1780.783,1403.153,66.64,32.387,1.61,7.839,1,1,Stationary,B,B,3,2002-10-23,2002-11-18,FALSE,B,Ok
11001001,CALBOR,1,255,262,-0.36774277399329,3.39824137771833,-0.0404549269597219,1.20946631484545,1257.98150249714,458.189491609346,-33.0356407734663,12.582180052764,-0.168961929734216,4.62226033630305,2.67621083250381,2.41443655258186,1,0.211,0.954,0.945,-0.093,13.609,203.887,370.166,432.606,776.842,349.804,58.158,32.897,2,1,Mig,B,mig,3,2002-11-19,2002-11-22,FALSE,mig,Ok
11001001,CALBOR,9,263,289,0.407301323236798,2.43244512652876,0.0071728721157611,2.37602965825378,3005.74220699315,976.280221248831,-13.9476083719456,14.8461600007332,-24.1861986673103,9.09582659635792,2.97385891987858,1.6278444572484,9,0.242,0.598,0.93,0.152,4.537,1141.341,676.031,616.099,3369.535,802.704,135.038,52.063,2,2,Mig,Non-B,mig,3,2002-11-23,2002-12-06,FALSE,mig,Ok
11001001,CALBOR,10,290,441,-0.0382933745536849,0.746637121323424,0.0124502183135547,1.2226610054232,4458.70515197284,228.986507310536,14.1695127325586,1.0004208590136,-31.7962691303467,1.79672841461519,1.15261329638797,0.846571623500651,10,1.205,0.014,0.428,0.224,0.543,480.832,1584,1264.82,4458.705,228.987,1.797,66.742,1,2,Stationary,Non-B,W,3,2002-12-06,2003-02-20,FALSE,W,Ok
11001001,CALBOR,9,442,452,0.407301323236798,2.43244512652876,0.0071728721157611,2.37602965825378,3005.74220699315,976.280221248831,-13.9476083719456,14.8461600007332,-24.1861986673103,9.09582659635792,2.97385891987858,1.6278444572484,9,0.266,0.94,0.894,0.069,6.206,817.767,632.857,478.567,2112.795,785.408,135.038,52.063,2,1,Mig,B,mig,3,2003-02-20,2003-02-25,FALSE,mig,Ok
11001001,CALBOR,1,453,490,-0.36774277399329,3.39824137771833,-0.0404549269597219,1.20946631484545,1257.98150249714,458.189491609346,-33.0356407734663,12.582180052764,-0.168961929734216,4.62226033630305,2.67621083250381,2.41443655258186,1,0.298,0.234,0.884,-0.037,2.34,2121.699,718.118,1260.321,1359.274,414.233,58.158,32.897,2,1,Mig,B,mig,1,2003-02-26,2003-03-21,TRUE,mig,Check
